price,room_count,toilet_count,size,heating_type,building_age,building_type,neighborhood,floor
3.600.000,1,N/A,N/A,Uygun,Kombi,Daire,Şile,21 Yaşında
14.450.000,4,N/A,N/A,Uygun,Kombi,Villa,Şile,Sıfır Bina
7.500.000,2,N/A,N/A,Uygun değil,Kombi,Daire,Şile,11 Yaşında
47.000.000,12 + 5,5,/ 256 m2,Doğalgaz,Kombi,Bina,Beşiktaş,23 Yaşında
2.400.000,2 + 1,1,/ 80 m2,Kombi,15,Daire,Bahçelievler,Giriş Katı
20.500.000,3 + 1,2,/ 135 m2,Merkezi (Pay Ölçer),35,Daire,Beşiktaş,3. Kat
5.200.000,2 + 1,1,/ 70 m2,Kombi,Sıfır,Daire,Maltepe,Bodrum
16.000.000,3 + 1,2,/ 105 m2,Kombi,Sıfır,Daire,Kadıköy,9. Kat
20.500.000,3 + 1,2,/ 135 m2,Merkezi (Pay Ölçer),35,Daire,Beşiktaş,3. Kat
5.200.000,2 + 1,1,/ 70 m2,Kombi,Sıfır,Daire,Maltepe,Bodrum
16.000.000,3 + 1,2,/ 105 m2,Kombi,Sıfır,Daire,Kadıköy,9. Kat
11.750.000,2 + 1,1,/ 90 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,2. Kat
53.000.000,5 + 2,5,/ 400 m2,Doğalgaz,Kombi,Villa,Beykoz,14 Yaşında
28.000.000,2 + 0,1,/ 130 m2,Merkezi,10,Residence,Bakırköy,8. Kat
13.000.000,3 + 1,1,/ 115 m2,Merkezi,31,Daire,Bakırköy,5. Kat
10.900.000,3 + 1,2,/ 140 m2,Merkezi,50,Daire,Şişli,3. Kat
2.080.000,2 + 1,1,/ 100 m2,Kombi,25,Daire,Sultanbeyli,1. Kat
3.900.000,2 + 1,1,/ 80 m2,Kombi,10,Daire,Kağıthane,Yüksek Giriş
6.750.000,2 + 1,1,/ 65 m2,Kombi,4,Daire,Beşiktaş,3. Kat
3.450.000,2 + 1,1,/ 70 m2,Kombi,30,Daire,Şişli,3. Kat
