price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
4250000.0,1.0,Kombi,15.0,Daire,Esenyurt,16.0,2,1,128.0
2350000.0,1.0,Kombi,15.0,Daire,Esenyurt,3.0,1,1,65.0
3675000.0,1.0,Kombi,30.0,Daire,Zeytinburnu,3.0,2,1,88.0
1800000.0,1.0,Kombi,40.0,Daire,Fatih,0.0,1,1,70.0
4750000.0,2.0,Kombi,15.0,Daire,Büyükçekmece,2.0,3,1,140.0
6750000.0,1.0,Kombi,9.0,Daire,Maltepe,-1.0,2,1,75.0
3975000.0,2.0,Uygun değil,9.0,Daire,Beykoz,3.0,1,0,105.0
12000000.0,2.0,Uygun,9.0,Daire,Başakşehir,3.0,3,0,105.0
15000000.0,2.0,Uygun,9.0,Daire,Beylikdüzü,3.0,2,0,105.0
8300000.0,2.0,Kombi,11.0,Daire,Eyüpsultan,3.0,3,1,129.0
7900000.0,1.0,Yerden Isıtma,6.0,Daire,Eyüpsultan,3.0,1,1,61.0
8250000.0,1.0,Kombi,20.0,Daire,Eyüpsultan,3.0,3,1,120.0
14650000.0,1.0,Merkezi,11.0,Residence,Ataşehir,3.0,1,1,68.0
2200000.0,1.0,Kombi,51.0,Daire,Küçükçekmece,3.0,3,1,110.0
22000000.0,2.0,Merkezi (Pay Ölçer),50.0,Daire,Şişli,3.0,4,1,165.0
3975000.0,1.0,Kombi,7.0,Daire,Maltepe,2.0,1,1,55.0
2800000.0,1.0,Kombi,17.0,Daire,Ümraniye,-1.0,2,1,72.0
3975000.0,1.0,Kombi,7.0,Daire,Maltepe,2.0,1,1,55.0
2800000.0,1.0,Kombi,17.0,Daire,Ümraniye,-1.0,2,1,72.0
18500000.0,2.0,Kombi,9.0,Daire,Kadıköy,8.0,3,1,90.0
8500000.0,3.0,Kombi,9.0,Daire,Pendik,99.0,5,2,220.0
3250000.0,2.0,Kombi,14.0,Daire,Pendik,-1.0,2,1,100.0
6950000.0,2.0,Kombi,27.0,Daire,Maltepe,2.0,3,1,120.0
3850000.0,1.0,Kombi,7.0,Daire,Sancaktepe,2.0,2,1,70.0
5200000.0,1.0,Kombi,40.0,Daire,Bahçelievler,1.0,2,1,82.0
5850000.0,2.0,Uygun,9.0,Daire,Sultanbeyli,3.0,3,0,105.0
4350000.0,1.0,Kombi,14.0,Daire,Ataşehir,0.0,2,1,80.0
4500000.0,1.0,Kombi,9.0,Daire,Sultanbeyli,3.0,2,1,80.0
7500000.0,2.0,Uygun,9.0,Daire,Kadıköy,3.0,2,0,105.0
9750000.0,2.0,Uygun,9.0,Villa,Şile,3.0,3,0,105.0
5500000.0,2.0,Uygun,9.0,Daire,Şile,3.0,1,0,105.0
5950000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
4950000.0,2.0,Uygun,9.0,Daire,Şile,3.0,1,0,105.0
6400000.0,2.0,Uygun,9.0,Villa,Şile,3.0,3,0,105.0
9250000.0,2.0,Uygun,9.0,Müstakil Ev,Şile,3.0,3,0,105.0
5850000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
9250000.0,2.0,Uygun,9.0,Müstakil Ev,Şile,3.0,3,0,105.0
5850000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
7250000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
14200000.0,2.0,Uygun,9.0,Villa,Şile,3.0,3,0,105.0
3700000.0,2.0,Uygun değil,9.0,Daire,Esenyurt,3.0,2,0,105.0
18500000.0,2.0,Uygun değil,9.0,Villa,Şile,3.0,6,0,105.0
6575000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
4000000.0,2.0,Uygun değil,9.0,Daire,Şile,3.0,1,0,105.0
5900000.0,2.0,Uygun,9.0,Daire,Şile,3.0,2,0,105.0
6500000.0,2.0,Uygun değil,9.0,Daire,Şile,3.0,1,0,105.0
5000000.0,2.0,Uygun,9.0,Daire,Şile,3.0,1,0,105.0
3600000.0,2.0,Uygun,9.0,Daire,Şile,3.0,1,0,105.0
14450000.0,2.0,Uygun,9.0,Villa,Şile,3.0,4,0,105.0
7500000.0,2.0,Uygun değil,9.0,Daire,Şile,3.0,2,0,105.0
47000000.0,5.0,Doğalgaz,9.0,Bina,Beşiktaş,3.0,12,5,256.0
2400000.0,1.0,Kombi,15.0,Daire,Bahçelievler,0.0,2,1,80.0
20500000.0,2.0,Merkezi (Pay Ölçer),35.0,Daire,Beşiktaş,3.0,3,1,135.0
5200000.0,1.0,Kombi,9.0,Daire,Maltepe,-2.0,2,1,70.0
16000000.0,2.0,Kombi,9.0,Daire,Kadıköy,9.0,3,1,105.0
20500000.0,2.0,Merkezi (Pay Ölçer),35.0,Daire,Beşiktaş,3.0,3,1,135.0
5200000.0,1.0,Kombi,9.0,Daire,Maltepe,-2.0,2,1,70.0
